number,R,G,B,HEX
1,0,0,0,#000000
2,24,7,12,#18070C
3,71,3,17,#470311
4,111,3,38,#6F0326
5,49,55,56,#313738
6,139,2,54,#8B0236
7,175,10,13,#AF0A0D
8,56,99,110,#38636E
9,223,15,0,#DF0F00
10,90,144,160,#5A90A0
11,128,199,221,#80C7DD
12,244,250,252,#F4FAFC
